"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Jane Eyre","Wuthering Heights","018001451","Monograph","Language material ; Text","Volume","GBB6C5005","","9781785996771","","","","","Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Arcturus","2016","","1 volume, 18 cm","823.808","","England--Social life and customs--Fiction","Fiction","English","In slip case",""
"Jane Eyre's American daughters : from The wide, wide world to Anne of Green Gables : a study of marginalized maidens and what they mean","","013271568","Monograph","Language material ; Text","Volume","GBA717475","","9780874138863","Seelye, John","1931-2015","person","","Seelye, John, 1931-2015 [person]","","","United States of America","Newark, Delaware","Associated University Presses ; University of Delaware Press","2005","","368 pages, 25 cm","813.4099287","YC.2007.a.3220 ; m05/.31118","Canadian fiction--English influences ; Women in literature ; American fiction--English influences ; Marginality, Social, in literature ; Montgomery, L. M. (Lucy Maud), 1874-1942 ; Women and literature--North America ; Warner, Susan, 1819-1885 ; American fiction--Women authors--History and criticism ; Brontë, Charlotte, 1816-1855--Appreciation--North America ; Gaskell, Elizabeth Cleghorn, 1810-1865","","English","",""
"Jane Eyre's daughter","Jane Eyre","014771684","Monograph","Language material ; Text","Volume","GBA8B6489","","9781402212376","Newark, Elizabeth","","person","","Newark, Elizabeth [person] ; Brontë, Charlotte, 1816-1855 [person]","","","United States of America","Naperville, Illinois","Sourcebooks Casablanca","2008","","xxxii, 303 pages, 20 cm","813.54","H.2009/2765","Yorkshire (England)--History--19th century--Fiction ; Mothers and daughters--Fiction ; Eyre, Jane (Fictitious character)--Fiction","Fiction","English","",""
"Jane Eyre's fairytale legacy at home and abroad : constructions and deconstructions of national identity","","017694134","Monograph","Language material ; Still image ; Text","Volume","GBB602561","","9781472468611","Heiniger, Abigail","","person","author","Heiniger, Abigail, author [person]","","","England","Farnham, Surrey","Ashgate","2016","","1 volume, black and white illustrations, 24 cm","823.8","","English fiction--19th century--History and criticism ; Fairy tales--History and criticism ; Brontë, Charlotte, 1816-1855","","English","Additional physical form: ebook version. 9781472468635",""
"Jane Eyre's fairytale legacy at home and abroad : constructions and deconstructions of national identity","","017696130","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook ; PDF ebook)","GBB604556","","9781472468628 ; 9781472468635","Heiniger, Abigail","","person","author","Heiniger, Abigail, author [person]","","","England","Farnham, Surrey","Ashgate","2016","","1 online resource, black and white illustrations","823.8","","English fiction--19th century--History and criticism ; Fairy tales--History and criticism ; Brontë, Charlotte, 1816-1855","","English","Additional physical form: Print version. 9781472468611",""
"Jane Eyre's fairytale legacy at home and abroad : constructions and deconstructions of national identity","","017785333","Monograph","Language material ; Text","Online resource (ebk ; Mobipocket ebook ; ePub ebook ; PDF ebook)","GBB663690","","9781315590349 ; 9781317111290 ; 9781317111306 ; 9781317111313","Heiniger, Abigail","","person","author","Heiniger, Abigail, author [person]","","","England","London","Routledge","2016","","1 online resource","823.8","ELD.DS.50612","English fiction--19th century--History and criticism ; Fairy tales--History and criticism ; SOCIAL SCIENCE / Women's Studies ; Brontë, Charlotte, 1816-1855","","English","Additional physical form: Print version. 9781472468611 ; Previously issued in print: Farnham: Ashgate, 2016",""
"Jane Eyre's fairytale legacy at home and abroad : constructions and deconstructions of national identity","","019429541","Monograph","Language material ; Text","Volume","GBB9A3083","","9780367346645","Heiniger, Abigail","","person","author","Heiniger, Abigail, author [person]","","","England","London","Routledge","2019","","1 volume, 24 cm","823.8","","English fiction--19th century--History and criticism ; Fairy tales--History and criticism ; Brontë, Charlotte, 1816-1855","","English","Originally published: Farnham: Ashgate, 2016",""
"Jane Eyre, Charlotte Bronte : practice material and exercises for First Certificate literature","","015435880","Monograph","Language material ; Text","Volume","GBA9B7476","","9781900276054","Maniski, Theo","","person","","Maniski, Theo [person]","Literature workbooks","","England","London","Autonomous","1995","","118 pages, 21 cm","823.8","YK.2010.a.1846","Brontë, Charlotte, 1816-1855--Examinations--Study guides","Study guide","English","",""
"Jane Eyre, Charlotte Brontë","","010699168","Monograph","Language material ; Text","Volume","GB98X5187","","9780582368323","Rowbotham, Sarah","","person","","Rowbotham, Sarah [person]","York notes","","England","Harlow","Longman","1998","","96 pages, illustrations, 21 cm","823.8","YK.1999.a.8310","Brontë, Charlotte, 1816-1855","","English","",""
"Jane Eyre, Charlotte Brontë","","010701365","Monograph","Language material ; Text","Volume","GBA275972","","9780582506213","Rowbotham, Sarah","","person","","Rowbotham, Sarah [person]","York notes for GCSE","","England","Harlow ; London","Longman ; York","2002","Revised edition","104 pages, illustrations, 21 cm","823.8","YK.2003.a.4754","Brontë, Charlotte, 1816-1855","","English","Previous edition: 1997",""
"Jane Eyre, Charlotte Brontë","","012930433","Monograph","Language material ; Text","Volume","GBA598199","","9780582823051","","","","","Sayer, Karen, 1967- [person]","York notes. Advanced","","England","Harlow","Longman","2004","New and fully revised edition","111 pages, 21 cm","823.8","YK.2005.a.16805","Brontë, Charlotte, 1816-1855","","English","Previous edition: 1998",""
"Jane Eyre, Charlotte Brontë","","013063398","Monograph","Language material ; Text","Volume","GBA488887","","9781586633646","Phillips, Brian","","person","","Phillips, Brian [person] ; Crowther, John (John C.) [person] ; Mannheimer, Katie [person] ; Friedberg, Sarah [person]","Sparknotes","","England ; United States of America","London ; New York","Barnes & Noble ; Spark","2002","","77 pages, 21 cm","823.8","YK.2008.a.11944","Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","",""
"Jane Eyre, Charlotte Brontë","","014567619","Monograph","Language material ; Text","Volume","GBA848758","","9781411403550","","","","","","Sparknotes literature guides","","England ; United States of America","Lewes ; New York","SparkNotes","2008","","1 volume, 21 cm","823.8","","Brontë, Charlotte, 1816-1855","","English","",""
"Jane Eyre, Charlotte Brontë","","016473669","Monograph","Language material ; Text","Volume","GBB372684","","9781447948834","Sayer, Karen","1967-","person","author","Sayer, Karen, 1967-, author [person]","York notes for AS & A2","","England","Harlow, Essex ; London","Pearson ; York","2013","New and fully revised edition","112 pages, colour illustrations, 30 cm","823.8","YKL.2015.b.5900","Brontë, Charlotte, 1816-1855","","English","Previous edition : 2004",""
"Jane Eyre, Charlotte Brontë","","017539544","Monograph","Language material ; Text","Volume","GBB5E7713","","9781447982173","Darragh, Sarah","","person","author","Darragh, Sarah, author [person]","York notes for GCSE. Study guide","","England","Harlow","Pearson","2015","New and fully revised edition","96 pages, colour illustrations, 30 cm","823.8","","English literature--History and criticism--Juvenile literature ; Brontë, Charlotte, 1816-1855","Children's literature","English","'New for GCSE (9-1) '--Cover ; Previous edition: 2002",""
"Jane Eyre, Charlotte Brontë","","018479669","Monograph","Language material ; Text","Online resource","GBB7N7561","","9781292135335","Darragh, Sarah","","person","author","Darragh, Sarah, author [person]","York notes for GCSE. Study guide","","England ; United Kingdom","Harlow","Pearson","2015","","1 online resource (96 pages)","823.8","ELD.DS.173617","English literature--History and criticism--Juvenile literature ; Brontë, Charlotte, 1816-1855","Children's literature","English","",""
"Jane Eyre, Charlotte Brontë","","018481797","Monograph","Language material ; Text","Online resource","GBB7N7811","","9781447966029","Sayer, Karen","1967-","person","author","Sayer, Karen, 1967-, author [person]","York notes for AS & A2","","England","Harlow","Pearson","2013","","1 online resource (112 pages)","823.8","ELD.DS.175259","Literary companions, book reviews & guides ; Brontë, Charlotte, 1816-1855","","English","",""
"Jane Eyre, Charlotte Brontë","Brodie's notes on Charlotte Brontë's Jane Eyre","007744913","Monograph","Language material ; Text","Volume","GB9402926","","9780333580547","Handley, Graham","1926-","person","","Handley, Graham, 1926- [person]","","","England","Basingstoke","Macmillan","1992","Revised edition","112 pages, 20 cm","823.8","","English fiction ; Brontë, Charlotte, 1816-1855","","English","Cover title: Jane Eyre, Charlotte Brontë ; Originally published: London : Pan, 1986",""
"Jane Eyre, Charlotte Brontë","Jane Eyre","008117700","Monograph","Language material ; Text","Volume","GB8705808","","9780850977745","Mahoney, John","1940 February 23-","person","","Martin, Stewart, 1948- [person] ; Brontë, Charlotte, 1816-1855 [person] ; Mahoney, John, 1940 February 23- [person]","Letts study aids","","England","London","Letts","1987","","80 pages, 1 map, 30 cm","823.8","YC.1988.b.7035","Fiction in English--Brontë, Charlotte ; Brontë, Charlotte, 1816-1855","","English","",""
"Jane Eyre, Charlotte Brontë","Jane Eyre","017418494","Monograph","Language material ; Text","Volume","GBB582690","","9780198355298","Smith, Alison","","person","author ; critic","Smith, Alison, author ; critic [person] ; Brontë, Charlotte, 1816-1855 [person]","Oxford literature companions","","England","Oxford","Oxford University Press","2016","","111 pages, illustrations (black and white and colour), 22 cm","823.8","YKL.2017.a.10975","English fiction--19th century--Study guides ; English fiction--19th century--History and criticism ; Brontë, Charlotte, 1816-1855","Study guide","English","",""
"Jane Eyre, Charlotte Brontë","Jane Eyre","018118561","Monograph","Language material ; Text","Volume","GBB938767","","9780995608634","","","","","Brontë, Charlotte, 1816-1855 [person]","The quotation bank","","England","Swindon","Esse Publishing","2016","","43 pages, 11 x 15 cm","823.8","YKL.2019.a.1360","Eyre, Jane, (Fictitious character)--In literature ; Brontë, Charlotte, 1816-1855","","English","",""
"Jane Eyre, Charlotte Brontë, retold by Jenny Dooley : teacher's book","Jane Eyre","007693282","Monograph","Language material ; Text","Volume","GBA414406","","9781844661992","","","","","Dooley, Jenny [person]","Classic readers","","England","Newbury","Express","2003","","64 pages, colour illustrations, 21 cm","372.412","","Brontë, Charlotte, 1816-1855--Study and teaching (Elementary) ; English language--Study and teaching (Elementary) ; Readers (Elementary)","","English","",""
"Jane Eyre, French","Jane Eyre","009989814","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Geux-Rolle, Henriette [person]","","","Switzerland","Lausanne","La Guilde du livre","1960","","269 pages","","YA.1994.a.8099","Fiction in English--1837-1900--Translations","","French","",""
"Jane Eyre, etc","","001593249","Monograph","Language material ; Text","Volume","","","","Hardy, Barbara","1924-2016","person","","Hardy, Barbara, 1924-2016 [person]","Notes on English Literature","","England","Oxford","Basil Blackwell","1964","","95 pages (8°)","","11807.a.8/11","Brontë, Charlotte, 1816-1855","","","",""
"Jane Eyre. 1981","A concordance to Brontë's Jane Eyre","010259862","Monograph","Language material ; Text","Volume","","","9780824093396","Sabol, C. Ruth","","person","","Bender, Todd K. [person] ; Sabol, C. Ruth [person] ; Brontë, Charlotte, 1816-1855 [person]","Garland reference library of the humanities","volume 290 [Garland reference library of the humanities]","United States of America","New York","Garland","1981","","xii, 448 pages, 29 cm","823.8","4072.280000","Brontë, Charlotte, 1816-1855--Concordances","","English","",""
"Jane Eyre. 2000","Agnes Grey. 2000 ; Great novels of the Brontë sisters ; Wuthering Heights. 2000","005604752","Monograph","Language material ; Text","Volume","GBA106047","","9780752545516 ; 9780752546179","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","Bath","Parragon","2000","","748 pages, 23 cm","823.808","Nov.2002/780","","","English","Originally published: 1968",""
"Jane Eyre. Act 1","Jane Eyre ; Jane Eyre : an opera in three acts. Act I","017348649","Monograph","Notated music","Volume","","","","Karchin, Louis","","person","composer","Karchin, Louis, composer [person] ; Osen, Diane, 1956- [person] ; Brontë, Charlotte, 1816-1855 [person]","","","United States of America","New York","American Composers Alliance","2013","Full score","1 score (239 pages), 44 cm","782.1","I.660.x./1","Operas--Excerpts--Scores","Excerpt","English","",""
"Jane Eyre. Bengali","Saralā","019204144","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","author","Soma, Nirmmalā Bālā, translator [person] ; Brontë, Charlotte, 1816-1855, author [person]","","","India","Calcutta","'s Press ; Gupta, Mukherjee ; N. Mukherjee ; Nirmala Bala Some","1914","First edition","188 pages, 18 x 12 cm, in box 19 x 13.8 cm","","VT 3387 (b)","England--Social life and customs--19th century--Fiction ; Governesses--England--Fiction ; Man-woman relationships--England--Fiction ; Orphans--England--Fiction","Fiction","Bengali","",""
"Jane Eyre. Bengali","Saralā","019247845","Monograph","Language material ; Text","Online resource","","","","Brontë, Charlotte","1816-1855","person","author","Soma, Nirmmalā Bālā, translator [person] ; Brontë, Charlotte, 1816-1855, author [person]","","","India","Calcutta","'s Press ; Gupta, Mukherjee ; N. Mukherjee ; Nirmala Bala Some","1914","First edition","188 pages, 18 x 12 cm, in box 19 x 13.8 cm","","Digital Store VT 3387 (b)","England--Social life and customs--19th century--Fiction ; Governesses--England--Fiction ; Man-woman relationships--England--Fiction ; Orphans--England--Fiction","Fiction","Bengali","",""
