"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"823.8","009426327","Monograph","Language material ; Text","Volume","GB8139794","","9780553210200","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Bantam classics","","England","London ; Toronto","Bantam","1981","3rd edition","xi, 433 pages, 18 cm","X.958/5767","Fiction in English--1837-1900--Texts","","English","",""
"823.8","009443425","Monograph","Language material ; Text","Volume","GB9307234","","9780745008981 ; 9780745008998","Nestor, Pauline","","person","","Nestor, Pauline [person]","Charlotte Brontë's Jane Eyre","","Critical studies of key texts","","England ; United States of America","London ; New York","Harvester Wheatsheaf","1992","","114 pages, 21 cm","YC.1993.a.1901","English fiction ; Brontë, Charlotte, 1816-1855","","English","bibliography: p105-109. - Includes index",""
"823.8","009498018","Monograph","Language material ; Text","Volume","GBA256796","","9781902645285","Bellamy, Joan","1926-","person","","Bellamy, Joan, 1926- [person]","'More precious than rubies' : Mary Taylor: friend of Charlotte Brontë, strong-minded woman","Mary Taylor","","","England","Beverley","Highgate","2002","New edition","viii, 168 pages, illustrations, 21 cm","YC.2003.a.2138","Taylor, Mary, 1817-1893 ; Authors, English--19th century--Biography ; Women authors, English--19th century--Biography ; Brontë, Charlotte, 1816-1855--Friends and associates","Biography","English","Previous edition published as: Mary Taylor. Huddersfield : Kirklees Cultural Services, 1997",""
"823.8","009503278","Monograph","Language material ; Text","Volume","GBA1V5066","","9781904095019","Hubbard, Kate","1963-","person","","Kerman, Lesley [person] ; Hubbard, Kate, 1963- [person]","Charlotte Brontë : the girl who turned her life into a book","","","","England","London","Short","2001","","95 pages, illustrations, 16 cm","YK.2002.a.14200","Authors, English--Biography--Juvenile literature ; Women authors, English--Biography--Juvenile literature ; Brontë, Charlotte, 1816-1855","Biography ; Children's literature","English","",""
"823.8","009618227","Monograph","Language material ; Text","Volume","","","9789140034847","Björk, Harriet","1936-","person","","Björk, Harriet, 1936- [person]","The language of truth : Charlotte Brontë, the woman question, and the novel","","Lund studies in English","47 [Lund studies in English]","Sweden","Lund","Gleerup","1974","","152 pages, 24 cm","5304.980000","Women in literature ; Women and literature--England--History--19th century ; Women's rights in literature ; Feminism and literature--England--History--19th century ; Brontë, Charlotte, 1816-1855--Political and social views","","English","Includes index",""
"823.8","009658789","Monograph","Language material ; Text","Volume","GB5708182","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Abbey classics","","England","","Murrays Book Sales","1957","Abridged edition","253 pages, illustrations, 19 cm","","","","English","",""
"823.8","009681711","Monograph","Language material ; Text","Volume","GB7316843","","9780575016613","Burkhart, Charles","","person","","Burkhart, Charles [person]","Charlotte Brontë : a psychosexual study of her novels","","","","England","London","Gollancz","1973","","159 pages, 23 cm","73/5503","Fiction in English--Brontë, Charlotte--Critical studies ; Brontë, Charlotte, 1816-1855","","English","",""
"823.8","009700384","Monograph","Language material ; Text","Volume","GBA4Z4568","","9780199272556","Glen, Heather","","person","","Glen, Heather [person]","Charlotte Brontë : the imagination in history","","","","England","Oxford","Oxford University Press","2004","","320 pages, 24 cm","","Women and literature--England--History--19th century ; Literature and history--England--History--19th century ; Brontë, Charlotte, 1816-1855--Knowledge--History ; History in literature","","English","Includes index ; Originally published: 2002",""
"823.8","009722327","Monograph","Language material ; Text","Volume","GBA1V7392","","9781903552230","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","","","England","London","Back-in-Print","2001","","698 pages, 29 cm","","Governesses--England--Fiction ; England--Social life and customs--19th century--Fiction","Fiction ; Large print","English","",""
"823.8","009723825","Monograph","Language material ; Text","Volume","GBA3W1874","","9781904095606","Hubbard, Kate","1963-","person","","Hubbard, Kate, 1963- [person]","Who was Charlotte Brontë? : the girl who turned her life into a book","","","","England","London","Short","2003","","1 volume, 20 cm","","Brontë, Charlotte, 1816-1855--Juvenile literature","Children's literature","English","",""
"823.8","009724892","Monograph","Language material ; Text","Volume","GBA3V3559","","9781904633037","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Collector's library","4 [Collector's library]","England","London","Collector's Library","2003","","650 pages, 16 cm","Nov.2005/826","Governesses--England--Fiction ; England--Social life and customs--Fiction","Fiction","English","",""
"823.8","009777539","Monograph","Language material ; Text","Volume","","","9780415017879","Macpherson, Pat","","person","","Macpherson, Pat [person]","Reflecting on Jane Eyre","","Heroines?","","England","London","Routledge","1989","","","89/24279","Governesses in literature ; Women in literature ; Brontë, Charlotte, 1816-1855 ; Heroines in literature ; Feminism and literature--England--History--19th century","","English","",""
"823.8","009795616","Monograph","Language material ; Text","Volume","","","9780415070249 ; 9780415095693","Azim, Firdous","","person","","Azim, Firdous [person]","The colonial rise of the novel","","","","England","","Routledge","1993","","","93/22076","Feminism and literature--Great Britain--History--19th century ; Literature and society--Great Britain--History--19th century ; First person narrative ; Women and literature--Great Britain--History--19th century ; Brontë, Charlotte, 1816-1855--Political and social views ; Sex role in literature ; Political fiction, English--History and criticism ; Social problems in literature ; English fiction--History and criticism--Theory, etc ; Colonies in literature ; Imperialism in literature","","English","",""
"823.8","009812938","Monograph","Language material ; Text","Volume","","","9780761817765 ; 9780761817772","Constable, Kathleen","","person","","Constable, Kathleen [person]","A stranger within the gates : Charlotte Brontë and Victorian Irishness","","","","United States of America","Lanham, Maryland","America ; University Press","2000","","","m00/43679","Irish--England--History--19th century ; Brontë, Charlotte, 1816-1855--Knowledge--Ireland ; Ireland--Politics and government--19th century ; Ireland--Foreign public opinion, English ; English literature--Irish influences ; Authors, English--19th century--Biography","Biography","English","",""
"823.8","009821987","Monograph","Language material ; Text","Volume","","","9780313309397","Teachman, Debra","1955-","person","","Teachman, Debra, 1955- [person]","Understanding Jane Eyre : a student casebook to issues, sources, and historical documents","","Greenwood Press 'Literature in context' series","","United States of America","Westport, Connecticut","Greenwood","2001","","","m01/27633","Brontë, Charlotte, 1816-1855--Sources ; Literature and history--England--History--19th century--Sources ; Governesses in literature","","English","",""
"823.8","009938575","Monograph","Language material ; Text","Volume","GB7326869","","9780586040140","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","","","England","St Albans","Panther","1973","","481 pages, 18 cm","H.73/849","Fiction in English, 1837-1900--Texts","","English","",""
"823.8","010015631","Monograph","Language material ; Text","Volume","","","","Singh, S. N.","1943-","person","","Singh, S. N., 1943- [person]","Charlotte Bronte : a thematic study of her novels","","","","India","Delhi","Mittal Publications","1987","","x, 179 pages, 23 cm","YA.1989.a.2757","Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","",""
"823.8","010047664","Monograph","Language material ; Text","Volume","GB8217056","","9780330500289","Goad, Kathleen M. (Kathleen May)","1900-","person","","Goad, Kathleen M. (Kathleen May), 1900- [person] ; Carrington, Norman T. (Norman Thomas) [person] ; Brontë, Charlotte, 1816-1855 [person]","Brodie's notes on Charlotte Brontë's Jane Eyre","Jane Eyre","Pan study aids","","England","London","","1976","","76 pages, 20 cm","X.958/8516","Fiction in English--Brontë, Charlotte--1816-1855 ; Brontë, Charlotte, 1816-1855","","English","",""
"823.8","010047811","Monograph","Language material ; Text","Volume","GB9127048","","9780330503099","Handley, Graham","1926-","person","","Handley, Graham, 1926- [person]","Brodie's notes on Charlotte Brontë's Jane Eyre","","","","England","London","","1991","","112 pages, 20 cm","YK.1991.a.3562","English fiction ; Brontë, Charlotte, 1816-1855","","English","Originally published: 1986",""
"823.8","010048270","Monograph","Language material ; Text","Volume","GB7523599","","9780333180822","Duthie, Enid L. (Enid Lowry)","","person","","Duthie, Enid L. (Enid Lowry) [person]","The foreign vision of Charlotte Brontë","","","","England","London","Macmillan","1975","","xiii, 237 pages, 23 cm","X.989/40128","Fiction in English--Brontë, Charlotte--1816-1855--Influence of European culture ; Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","bibliography: p.227-232. _ Includes index",""
"823.8","010049621","Monograph","Language material ; Text","Volume","GB7812172","","9780333236710","Linder, Cynthia A.","","person","","Linder, Cynthia A. [person]","Romantic imagery in the novels of Charlotte Brontë","","","","England","London","Macmillan","1978","","ix, 138 pages, 22 cm","79/8394 ; X.989/53277","Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Fiction in English--Brontë, Charlotte--Imagery","","English","bibliography: p.132-134. _ Includes index",""
"823.8","010052198","Monograph","Language material ; Text","Volume","GB8133979","","9780333321317","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Pinion, F. B. [person]","Jane Eyre","","Macmillan students' novels","","England","London","Macmillan","1982","","xxvi, 470 pages, illustrations, 18 cm","X.958/10413","Fiction in English--1837-1900--Texts","","English","",""
